"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AdminaStar Federal, Inc.","Anthem","$6,000,000","$0","$6,000,000","2005","20050920","government-contracting-related offenses","False Claims Act and related","","AdminaStar Federal, Inc. agreed to pay the United States $6 million to resolve allegations that the company interfered with Medicare evaluations and overcharged the federal healthcare program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2005/September/05_civ_492.html",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2012","20120712","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2012","20120713","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2012","20120723","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2012","20120814","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$20,000","$0","$20,000","2012","20120821","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2012","20121206","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2012","20121219","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2013","20130411","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2013","20130415","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Anthem Blue Cross","Anthem","$3,000,000","$0","$3,000,000","2013","20130424","consumer-protection-related offenses","insurance violation","","underpayment of interest on late paid claims","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://www.dmhc.ca.gov/AbouttheDMHC/Newsroom/April24,2013.aspx",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2013","20130430","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2013","20130430","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2013","20130612","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2013","20130612","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2013","20130616","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2013","20130617","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2013","20130724","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2013","20130726","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2013","20130726","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2013","20130805","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2013","20130809","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2013","20130814","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2013","20130819","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
